pointer_offsets;pointer_value;separators;extract
0xCB2BCC,0xCB2CCC,0xCB4EAC,0xCB4F34,0xCBC6CC,0xCBC6FC,0xCBC7CC,0xCBC7FC,0xCC431C,0xCC434C,0xCC441C,0xCC444C,0xCC94DC,0xCC9564,0xCD5DBC,0xCD5DEC,0xCD5F44,0xCD5F74,0xCD9A4C,0xCD9A7C,0xCD9BD4,0xCD9C04,0xCDA92C,0xCDA95C,0xCDAAB4,0xCDAAE4,0xD1F71C,0xD1F81C,0xD1F894,0xD3ACBC,0xD3ACEC,0xD3ADDC,0xD3AE44,0xD9FF5C,0xD9FF74,0xD9FF7C,0xD9FF84,0xDA1534,0xDA158C,0xDA15C4,0xDA161C,0xDA1624,0xDA1684,0xDA16E4,0xDA174C,0xDA17CC,0xDA17D4,0xDA187C,0xDA190C,0xDA1914,0xDA1A1C,0xDA1A84,0xDA1ABC,0xDA1AD4,0xDA1B3C,0xDA1B54,0xDA265C,0xDA29BC,0xDA29CC,0xDA2A2C;0x0094CAE4;00 00;Explorer
0xC35EB4,0xC35FB4,0xC36504,0xC3658C,0xC7DE84,0xC7DF94,0xC7EF84,0xC7F00C,0xC8020C,0xC80294,0xC851CC,0xC852DC,0xC8F45C,0xC8F4E4,0xC9075C,0xC907E4,0xC967A4,0xC9682C,0xCA0CDC,0xCA0D64,0xCA85FC,0xCA8684,0xCAA39C,0xCAA4AC,0xCAB4BC,0xCAB5BC,0xCAEA44,0xCAEACC,0xCB15D4,0xCB16E4,0xCBB5CC,0xCBB754,0xCBC90C,0xCBCA0C,0xCBDE1C,0xCBDEA4,0xCC321C,0xCC33A4,0xCC4A8C,0xCC4C14,0xCC4C9C,0xCC4D24,0xCD5FDC,0xCD6164,0xCD772C,0xCD783C,0xCD9C6C,0xCD9DF4,0xCE014C,0xCE01D4,0xD201AC,0xD20234,0xD3290C,0xD32A1C,0xD370C4,0xD371D4,0xD9FEC4,0xD9FECC,0xD9FED4,0xD9FEDC,0xD9FEE4,0xD9FFB4,0xD9FFCC,0xD9FFD4,0xD9FFDC,0xD9FFE4,0xD9FFEC,0xDA0B7C,0xDA0B9C,0xDA0BDC,0xDA0BE4,0xDA0CB4,0xDA0CEC,0xDA0CFC,0xDA0E7C,0xDA0ECC,0xDA0EFC,0xDA0F74,0xDA0F7C,0xDA0F84,0xDA0FF4,0xDA1164,0xDA125C,0xDA12BC,0xDA132C,0xDA1364,0xDA1394,0xDA13A4,0xDA13B4,0xDA1444,0xDA14DC,0xDA16EC,0xDA175C,0xDA178C,0xDA17DC,0xDA17E4,0xDA181C,0xDA18A4,0xDA18B4,0xDA1A34,0xDA1AA4,0xDA1ACC,0xDA1AEC,0xDA1BA4,0xDA1BE4,0xDA28AC,0xDA28BC,0xDA28D4,0xDA2934,0xDA293C;0x0094CAEC;00 00;Liberator
0xC3BF74,0xC3BFFC,0xCDCD5C,0xCDCDD4,0xD1B41C,0xD1B4A4,0xD1BB04,0xD1BB8C,0xD1C9C4,0xD1CA4C,0xD1E7A4,0xD1E82C,0xD1E93C,0xD1E9C4,0xD2A41C,0xD2A4A4,0xDA001C,0xDA0024,0xDA002C,0xDA0034,0xDA1B94,0xDA1C0C,0xDA255C,0xDA257C,0xDA2584,0xDA25A4,0xDA25CC,0xDA25E4,0xDA2634,0xDA263C,0xDA2844,0xDA2A7C;0x0094CAF4;00 00;exterminator
0xC7E4E4,0xC7E5F4,0xC7E704,0xC7E814,0xC8582C,0xC8593C,0xC85A4C,0xC85B5C,0xCA199C,0xCA1A24,0xCA92BC,0xCA9344,0xCD18BC,0xCD19CC,0xCD1E74,0xCD1EFC,0xD32BB4,0xD32CC4,0xD9FEEC,0xD9FEF4,0xD9FEFC,0xDA0B84,0xDA0B8C,0xDA0BBC,0xDA0C24,0xDA0C2C,0xDA0CBC,0xDA0CC4,0xDA0D1C,0xDA0D2C,0xDA0D7C,0xDA0D84,0xDA0E0C,0xDA0E4C,0xDA0E84,0xDA0F0C,0xDA0FFC,0xDA1184,0xDA11B4,0xDA121C,0xDA12DC,0xDA19CC,0xDA19D4,0xDA19DC,0xDA19E4,0xDA26A4,0xDA28CC,0xDA28DC;0x0094CAFC;00 00;Eraser
0xD0C81C,0xD0C8A4,0xD0EDD4,0xD0EE5C,0xD0F5CC,0xD0F654,0xDA2274,0xDA22DC,0xDA22FC,0xDA231C;0x0094CB04;00 00;"Blaster Dark Revenger ""Abyss"""
0xCB31FC,0xCB3284,0xCBA5CC,0xCBA654,0xDA1564,0xDA16AC;0x0094CB30;00 00 00 00;Ultimate Raizer Dual-flare
0xC95CE4,0xC95D6C,0xC96234,0xC96344,0xCAACC4,0xCAAD4C,0xCB1EFC,0xCB1F84,0xDA0F5C,0xDA0F64,0xDA0FCC,0xDA0FD4,0xDA0FDC,0xDA0FE4,0xDA134C,0xDA13F4,0xDA146C,0xDA1474,0xDA14FC,0xDA278C;0x0094CB50;00 00;Silver Thorn
0xCACEA4,0xCACF2C,0xCE19BC,0xCE1A44,0xDA130C,0xDA1344,0xDA13CC,0xDA13D4,0xDA13E4,0xDA13EC,0xDA145C,0xDA1464,0xDA14F4,0xDA26CC;0x0094CB58;00 00;Я
0xCB792C,0xCB79B4,0xDA1634;0x0094CB5C;00 00 00 00;Marineraizer High-torpedo
0xCB3FCC,0xCB4054,0xDA159C;0x0094CB74;00 00;Phoenixraizer Flame-wing
0xCCA9A4,0xCCAA2C,0xDA176C,0xDA1794,0xDA17F4,0xDA17FC,0xDA1804,0xDA188C,0xDA18C4,0xDA192C,0xDA1934;0x0094CB90;00 00 00 00;Purgatory
0xC8B0E4,0xC8B16C,0xD78170,0xD9A2BC,0xD9B960,0xD9BA74,0xD9BB88;0x0094CB98;00 00 00 00;dragonfly
0xCB2DEC,0xCB2EEC,0xCBA2CC,0xCBA3CC,0xD3D84C,0xD3D8D4,0xD9FF9C,0xD9FFA4,0xD9FFAC,0xDA1544,0xDA1594,0xDA168C,0xDA169C,0xDA299C,0xDA2A34;0x0094CBA4;00 00;Brawler
0xCFA6B4,0xCFA7C4,0xCFCBE4,0xCFCCF4,0xD17BCC,0xD17C54,0xDA1F2C,0xDA1F64,0xDA1F6C,0xDA1FB4,0xDA21A4,0xDA21AC,0xDA248C,0xDA24DC,0xDA24FC,0xDA2514;0x0094CBAC;00 00 00 00;PR♥ISM
0xD297E4,0xD2986C,0xD706A4,0xDA281C;0x0094CBBC;00 00;Battle Sister, Pudding
0xCAD964,0xCAD9EC,0xCB024C,0xCB02D4,0xCB035C,0xCB03E4,0xDA13FC,0xDA1404,0xDA147C,0xDA1484,0xDA148C,0xDA1494;0x0094CBD8;00 00 00 00;Azure Gale
0xC99334,0xC993BC,0xC9A8FC,0xC9A984,0xDA0724,0xDA0A24,0xDA0A84,0xDA0B54,0xDA0C34,0xDA0C9C,0xDA0CA4,0xDA1054,0xDA1064,0xDA1094,0xDA10BC,0xDA10EC,0xDA110C,0xDA111C,0xDA1EE4;0x0094CBE0;00 00 00 00;Beast King
0xD14AEC,0xD14B74,0xDA15F4,0xDA15FC,0xDA165C,0xDA2434,0xDA244C,0xDA245C,0xDA2774;0x0094CBE8;00 00;Steel Fighter
0xCE7274,0xCE72FC,0xD3B96C,0xD3B9F4,0xDA1CC4,0xDA29F4;0x0094CBF0;00 00;Machining Hornet mkII
0xD05DFC,0xD05F0C,0xD0601C,0xD0612C,0xD06EFC,0xD06F84,0xD0700C,0xD07094,0xD0AA7C,0xD0AB8C,0xD0AC9C,0xD0ADAC,0xD0BB7C,0xD0BC04,0xD0BC8C,0xD0BD14,0xD1769C,0xD17814,0xD17E74,0xD17EFC,0xD17F84,0xD1800C,0xD41A3C,0xD41B4C,0xDA2124,0xDA212C,0xDA2134,0xDA213C,0xDA2144,0xDA214C,0xDA2154,0xDA215C,0xDA2164,0xDA216C,0xDA2184,0xDA218C,0xDA2194,0xDA219C,0xDA21B4,0xDA21BC,0xDA21C4,0xDA21CC,0xDA21D4,0xDA21DC,0xDA21F4,0xDA21FC,0xDA2204,0xDA220C,0xDA2214,0xDA221C,0xDA2224,0xDA222C,0xDA2234,0xDA223C,0xDA2244,0xDA224C,0xDA2254,0xDA225C,0xDA24BC,0xDA24CC,0xDA24D4,0xDA24EC,0xDA24F4,0xDA2504,0xDA250C,0xDA26E4,0xDA26EC,0xDA27FC,0xDA2A74;0x0094CC10;00 00;Duo
0xD0FEE4,0xD0FFE4,0xD3A55C,0xD3A5E4,0xDA1BDC,0xDA1D04,0xDA1D0C,0xDA1D14,0xDA1D1C,0xDA1D24,0xDA2284,0xDA229C,0xDA22B4,0xDA22BC,0xDA22CC,0xDA22D4,0xDA22E4,0xDA230C,0xDA2334,0xDA234C,0xDA236C,0xDA237C,0xDA23B4,0xDA23D4,0xDA23F4,0xDA29B4;0x0094CC18;00 00 00 00;Witch
0xC98A3C,0xC98AB4,0xC9FE0C,0xC9FE84,0xCD687C,0xCD6A04,0xCDA50C,0xCDA694,0xD33A0C,0xD33A94,0xD9FF1C,0xD9FF24,0xDA0004,0xDA000C,0xDA0014,0xDA1084,0xDA109C,0xDA113C,0xDA172C,0xDA1814,0xDA185C,0xDA1A64,0xDA1A74,0xDA1B1C,0xDA1B2C,0xDA1B64,0xDA1B74,0xDA1BFC,0xDA1C04,0xDA28EC,0xDA28FC,0xDA2904;0x0094CC20;00 00;Starlight Soldier
0xC83494,0xC8351C,0xD78180,0xD99F80,0xD9A3D0,0xD9B510,0xD9B624;0x0094CC28;00 00 00 00;god king
0xC865FC,0xC8670C,0xC8DBEC,0xC8DCFC,0xC98E6C,0xC98EF4,0xDA0D04,0xDA0D4C,0xDA0DBC,0xDA0DCC,0xDA0E34,0xDA1044,0xDA108C,0xDA10B4,0xDA10FC,0xDA1C84,0xDA1CFC,0xDA273C;0x0094CC34;00 00 00 00;Guardian Angel
0xCD6D14,0xCD6E24,0xCDDCA4,0xCDDD2C,0xDA1A94,0xDA1BB4;0x0094CC40;00 00;Blue Flame
0xCB9774,0xCB97FC;0x0094CC48;00 00 00 00;Dollgun Maiden Peltti
0xCB908C,0xCB9114,0xD5DD10,0xD5DD14,0xDA1664;0x0094CC6C;00 00 00 00;Dudley Monty
0xD1F90C,0xD1F994,0xDA266C;0x0094CC84;00 00 00 00;Military Brawler, Lisei
0xD29CAC,0xD29D34,0xDA282C;0x0094CC9C;00 00 00 00;Shura Stealth Dragon, Daranicongo
0xD0148C,0xD0159C,0xD20E6C,0xD20EF4,0xDA202C,0xDA2054,0xDA205C,0xDA2064,0xDA208C,0xDA2094,0xDA20CC,0xDA20EC,0xDA20FC,0xDA26AC;0x0094CCB8;00 00;Brau
0xCC782C,0xCC78B4,0xDA18DC;0x0094CCC0;00 00 00 00;Susano'o
0xCC067C,0xCC0704,0xDA17EC;0x0094CCCC;00 00 00 00;Perdition Mage, Asticah
0xC35404,0xC3548C,0xD9FF94;0x0094CCE4;00 00 00 00;Jaillock Brawler, Kotenka
0xCB2B9C,0xCB2C24,0xDA153C;0x0094CD00;00 00;Full Bloom Seeker, Cerdic
0x8D5888,0x8D7204,0x8D751C,0xC3E6A4,0xC3E72C,0xD4C2EC,0xD4C2F0,0xD4D0BC,0xD4D0C0,0xD71C60,0xD71C64,0xDA007C,0xDA02B4,0xDA03AC,0xDA0434,0xDA043C,0xDA044C,0xDA050C,0xDA05D4,0xDA067C;0x0094CD1C;00 00;Blaster Dark (V Series Royal Paladin)
0xCCF7AC,0xCCF834,0xD61790,0xD61794,0xDA1984;0x0094CD30;00 00;Steam Knight, Xang
0xCABDC4,0xCABDE4,0xCABE4C,0xCABED4,0xCB0A44,0xCB0ACC,0xCB255C,0xCB257C,0xCB25E4,0xCB266C,0xD21FF4,0xD220F4,0xD24854,0xD24964,0xD3B9AC,0xD3BB24,0xDA137C,0xDA1414,0xDA149C,0xDA14A4,0xDA14AC,0xDA14B4,0xDA14BC,0xDA1524,0xDA1CBC,0xDA1CD4,0xDA1D2C,0xDA1D34,0xDA1D6C,0xDA1D8C,0xDA1D94,0xDA1D9C,0xDA26F4,0xDA27B4,0xDA29EC;0x0094CD48;00 00;Machining
0xCFBD8C,0xCFBE14,0xD781A4,0xD9B0C0,0xD9D004;0x0094CD54;00 00 00 00;Bermuda△
0xD3C274,0xD3C2FC,0xDA2A04;0x0094CD64;00 00 00 00;Dream Team, Dios
0xC361D4,0xC3625C,0xD9FFC4;0x0094CD7C;00 00;Unbending Liberator, Keredic
0xD3BC9C,0xD3BD24,0xDA29FC;0x0094CD98;00 00 00 00;Illusion Scientist, Researcher Fox
0xC828E4,0xC8296C,0xD7816C,0xD9AC70,0xD9B84C;0x0094CDC0;00 00;Genesis
0xD111F4,0xD1127C,0xDA238C;0x0094CDCC;00 00 00 00;Regalia of Beauty, Venus
0xCBF46C,0xCBF4F4,0xDA17C4;0x0094CDE4;00 00;Blue Storm Marine General, Ianis
0xD1F6EC,0xD1F774,0xDA2664;0x0094CDF8;00 00 00 00;Combined Strength Seeker, Locrinus
0x8D7684,0xD29B14,0xD29B9C,0xD48734,0xD48738,0xD49740,0xD49744,0xD685A8,0xD685AC,0xD68CC4,0xD68CC8,0xD72210,0xD72214,0xDA0A1C,0xDA0B4C,0xDA2824;0x0094CE14;00 00;CEO Amaterasu
0xCD0D74,0xCD0DFC,0xD426DC,0xD42764,0xDA19AC,0xDA1C64,0xDA1C6C,0xDA1CE4,0xDA2A9C;0x0094CE28;00 00;Lançlance
0xD17CBC,0xD17D44,0xDA24B4,0xDA24E4,0xDA253C;0x0094CE38;00 00 00 00;Loris
0xCBC49C,0xCBC524,0xCC40EC,0xCC4174,0xDA1744,0xDA1874;0x0094CE44;00 00 00 00;Blue Storm Marine General, Starless
0xCCE9DC,0xCCEA64,0xDA1974;0x0094CE5C;00 00 00 00;Blue Storm Marine General, Milos
0xCB363C,0xCB36C4,0xCBAC2C,0xCBACB4,0xD5D2B4,0xD5D2B8,0xD5E1F0,0xD5E1F4,0xDA1574,0xDA16BC;0x0094CE70;00 00;Silver Blaze
0xC84594,0xC8461C,0xD78198,0xD9BC9C,0xD9C764;0x0094CE84;00 00;Spike Brothers
0xC95154,0xC951DC,0xD78194,0xD9C428;0x0094CE98;00 00 00 00;Dark Irregulars
0xCE58F4,0xCE597C,0xCEC5DC,0xCEC664,0xD4D290,0xD4D294,0xD4E2D0,0xD4E2D4,0xDA1C5C,0xDA1D3C;0x0094CEB0;00 00;Maiden of Trailing Rose
0xCBCF3C,0xCBCFC4,0xCC463C,0xCC46C4,0xDA1774,0xDA1894;0x0094CED4;00 00;Ancient Dragon, Tyrannobite
0xCC8B4C,0xCC8BD4,0xD423AC,0xD42434,0xDA1904,0xDA1964,0xDA196C,0xDA1A14,0xDA1CB4,0xDA27DC,0xDA2A8C;0x0094CEEC;00 00;Chrono Jet
0xD0CD6C,0xD0CDF4,0xDA2294;0x0094CEFC;00 00;Fighting Spirit Revenger, Macart
0xCDEFC4,0xCDF04C,0xDA1BD4;0x0094CF18;00 00;Charharuto
0xD1BE9C,0xD1BF24,0xD2A1FC,0xD2A284,0xDA25AC,0xDA25BC,0xDA283C;0x0094CF28;00 00 00 00;King of Knights, Alfred
0xD1B0CC,0xD1B154,0xD1D464,0xD1D4EC,0xD1E454,0xD1E4DC,0xD39CBC,0xD39D44,0xDA2544,0xDA254C,0xDA2554,0xDA2564,0xDA256C,0xDA25B4,0xDA25C4,0xDA25EC,0xDA25F4,0xDA2604,0xDA261C,0xDA2624,0xDA262C,0xDA2884,0xDA2994;0x0094CF40;00 00 00 00;Alfred
0xC34524,0xC345AC,0xD9FF6C;0x0094CF50;00 00;Natural Talent Seeker, Valrod
